State FIPS Code,Premature Death Black,Premature Death White,FIPS Code
16,,9807.2200518,16009
16,,8452.973156,16011
16,,5408.461919,16013
16,,13187.327872,16015
16,,7948.9486344,16017
16,,8236.1527423,16019
16,,7228.7084867,16021
16,,13856.728175,16023
16,,,16025
16,,7679.1961342,16027
16,,8377.5263286,16029
16,,8820.8475542,16031
16,,,16033
16,,11802.110981,16035
16,,9091.3025006,16037
16,,8368.5290172,16039
16,,6290.0792883,16041
16,,6855.5561914,16043
16,,9136.9564952,16045
16,,8711.1414139,16047
16,,7971.2671505,16049
16,,7511.8315614,16051
16,,8984.4782208,16053
16,,6592.4381462,16055
16,,5104.8773656,16057
16,,10435.417728,16059
16,,14926.868337,16061
16,,7665.5356206,16063
16,,5175.6917783,16065
16,,9220.9762879,16067
16,,9314.3070785,16069
16,,7293.9368778,16071
16,,11920.381922,16073
16,,8072.3611222,16075
16,,7555.6519379,16077
16,,12245.631157,16079
16,,7942.8945349,16081
16,,8887.6213503,16083
16,,5685.5494073,16085
16,,9187.461595,16087
17,16719.010758,6863.876562,17000
17,16422.906479,8557.4979004,17001
17,23640.258863,13312.663144,17003
17,,8061.9201377,17005
17,,8036.9809528,17007
17,,6563.2620881,17009
17,,9197.2877912,17011
17,,10233.208242,17013
17,,8769.8929145,17015
17,,9154.8443569,17017
17,16390.743644,5934.1250304,17019
17,,8824.7195345,17021
17,,9702.4786477,17023
17,,8297.4575721,17025
17,,5755.8879683,17027
17,14821.88815,9068.7573473,17029
17,17848.25068,5672.9142442,17031
17,,7377.032979,17033
17,,7431.4745978,17035
17,13702.78727,7734.4832163,17037
17,,9746.9814609,17039
17,,7296.4432548,17041
17,9242.3096482,4733.403347,17043
17,,11472.71876,17045
17,,9610.5070686,17047
17,,6631.8890418,17049
17,,8334.2031302,17051
17,,9174.2738311,17053
17,,12529.685301,17055
17,,8703.6389466,17057
17,,12882.064642,17059
17,,10350.874569,17061
17,,7999.7186793,17063
17,,8300.2525054,17065
17,,8031.5293759,17067
17,,13529.486614,17069
17,,8426.5748282,17071
17,,7739.8320605,17073
17,,10378.634119,17075
17,19420.704585,10159.843299,17077
17,,6706.1012527,17079
17,13428.311676,10144.507142,17081
17,,10027.698834,17083
17,,6108.1192542,17085
17,,10451.900467,17087
17,13393.047046,5583.2479467,17089
17,20791.780352,8906.1394793,17091
17,7833.1650382,4601.5454381,17093
17,14509.059981,9840.2681088,17095
17,13409.757633,5266.8252664,17097
17,11552.310579,9358.9788659,17099
17,,10797.608027,17101
17,,7891.8944073,17103
17,,10046.997542,17105
17,,7935.3157829,17107
17,23650.203965,7393.3337004,17109
17,8487.3053158,6064.0265762,17111
17,13417.413393,6415.9300086,17113
17,18691.944907,9317.8351717,17115
17,,9387.2428288,17117
17,16708.460642,8673.4283749,17119
17,20634.490387,12380.3338,17121
17,,8813.2999429,17123
17,,10794.207796,17125
17,17933.624045,10727.342274,17127
17,,6541.4160698,17129
17,,7297.9183862,17131
17,,5645.2325861,17133
17,,11376.043936,17135
17,11382.515537,8401.3605231,17137
17,,8537.7925292,17139
17,,7123.6676785,17141
17,19802.546244,8519.7937283,17143
17,,10268.645135,17145
17,,6325.0291115,17147
17,,9420.443012,17149
17,,13826.259179,17151
17,13866.824615,12350.85676,17153
17,,7603.0109675,17155
17,11441.070906,9483.8774263,17157
17,,10786.600037,17159
17,15718.939145,7782.4032145,17161
17,18820.818677,8552.1168669,17163
17,30451.696151,11687.945844,17165
17,16842.247332,7692.2825907,17167
17,,11243.951729,17169
17,,10065.190401,17171
17,,7890.0771321,17173
17,,9987.5854705,17175
17,20024.226612,8101.1650866,17177
17,14559.787841,8130.8976693,17179
17,,10532.824194,17181
17,21133.678428,11173.313936,17183
17,,8719.6419487,17185
17,,8126.5486196,17187
17,,8781.231226,17189
17,,9872.8325542,17191
17,,10645.080765,17193
17,31212.537933,9790.7289018,17195
17,10329.372713,6346.8728687,17197
17,12346.334612,9259.1703425,17199
17,21463.067359,9970.3897326,17201
17,,5874.1778833,17203
18,16184.895083,9506.5380608,18000
18,,8643.8388082,18001
18,18045.843771,8632.3872281,18003
18,16827.447764,9943.142007,18005
18,,11508.490938,18007
18,,14182.094918,18009
18,,6351.4690715,18011
18,,10101.309859,18013
18,,7730.0910483,18015
18,,10545.317929,18017
18,18413.080903,11860.765173,18019
18,,9326.5794348,18021
18,,10621.468073,18023
18,,12117.800355,18025
18,,7855.1905767,18027
18,,8732.2369303,18029
18,,10274.760429,18031
18,,8728.265598,18033
18,17430.533939,12636.77139,18035
18,,6586.732498,18037
18,18012.452374,8692.2819135,18039
18,,15689.597431,18041
18,18383.59178,9756.4412124,18043
18,,10750.051741,18045
18,,9069.1203414,18047
18,,11505.088219,18049
18,,8027.7497745,18051
18,23352.849767,14676.112803,18053
18,,10569.617517,18055
18,7950.3704805,4793.3449333,18057
18,9100.8220647,7579.6705375,18059
18,,12314.838102,18061
18,6926.2446977,6381.2060909,18063
18,,10651.691884,18065
18,16739.66592,12124.653198,18067
18,,9708.1729345,18069
18,,9690.6460769,18071
18,,9402.9358316,18073
18,,11918.490562,18075
18,,11253.052343,18077
18,,12548.095055,18079
18,12626.393698,8404.5158165,18081
18,,10787.567617,18083
18,,9362.3553231,18085
18,,6482.6497536,18087
18,17625.154558,9473.5958872,18089
18,16236.028243,10909.18665,18091
18,,10772.548075,18093
18,16547.008843,11420.37438,18095
18,17005.998356,11846.867673,18097
18,,9856.7289976,18099
18,,10356.549132,18101
18,13071.155565,10801.072912,18103
18,15090.627941,8344.5285129,18105
18,,9625.449932,18107
18,,8726.2822871,18109
18,,11924.901986,18111
18,,8960.6654398,18113
18,,7007.0549687,18115
18,,9856.848137,18117
18,,12422.73683,18119
18,,8025.5416947,18121
18,,7393.9082929,18123
18,,10010.927187,18125
18,9884.6716468,7680.4291644,18127
18,,7377.620927,18129
18,,14216.805985,18131
18,,9110.9535754,18133
18,,11440.489348,18135
18,,9815.9913488,18137
18,,10163.302119,18139
18,17654.498466,8972.5880291,18141
18,,15901.274888,18143
18,,9997.8602872,18145
18,,9337.0709876,18147
18,,13205.563572,18149
18,,8534.9693018,18151
18,,9762.3286418,18153
